Island Name,Group/Region,Area (sq km),Population,Administrative District,Main Settlement / Town,Protected Status,Tourism,Notable Features,Flood Events (per year),Temperature (°C),Rainfall (mm/year),Humidity (%),Other Notes,Latitude,Longitude
Havelock (Swaraj Dweep),Andaman,113.0,6350,South Andaman,Govind Nagar,None (partly marine park),Major,Beaches coral reefs diving,Occasional,23–31,3000,70–85,Renamed Swaraj Dweep in 2018,11.9651954,92.9956211
Neil (Shaheed Dweep),Andaman,13.7,3040,South Andaman,Neil Kendra,None (partly marine park),Moderate,Beaches eco-tourism,Occasional,23–31,2800,70–85,Renamed Shaheed Dweep in 2018,11.8313739,93.0419302
Baratang,Andaman,238.0,5700,North & Middle Andaman,Nilambur,Jarawa Reserve partly park,Moderate,Limestone caves mud volcano,Occasional,23–31,3000,70–85,Tribal reserve permit required,12.1883182,92.8110351
North Andaman,Andaman,1317.0,42000,North & Middle Andaman,Diglipur,,Low/Moderate,Saddle Peak Ross & Smith,Occasional,22–30,3200,70–85,Largest Andaman island,13.2277143,92.9394925
Middle Andaman,Andaman,1536.0,55000,North & Middle Andaman,Rangat,,Low/Moderate,Mangroves waterfalls,Occasional,22–30,3200,70–85,-,12.6112387,92.8316541
South Andaman,Andaman,1262.0,238000,South Andaman,Port Blair,,Major,Capital Cellular Jail,Occasional,23–31,3000,70–85,Most populous,10.7056905,92.4874679
Barren Island,Andaman,8.34,0,North & Middle Andaman,,Protected (volcano),Limited (by boat),Active volcano marine life,Rare,24–30,2800,70–85,Only active volcano in India,12.2803466,93.863587
Ross Island (Netaji Subhas Chandra Bose),Andaman,0.31,0,South Andaman,,Protected (heritage),Major (day trips),Ruins history deer,Rare,23–31,3000,70–85,Renamed in 2018,11.6731,92.7697
North Bay,Andaman,0.5,0,South Andaman,,,Major (day trips),Snorkeling coral reefs,Rare,23–31,3000,70–85,-,11.6861,92.7702
Aves Island,Andaman,0.03,0,South Andaman,,,Limited,Small coral island,Rare,23–31,3000,70–85,-,11.6833,92.7167
Wandoor,Andaman,15.6,1200,South Andaman,Wandoor,,Moderate,Beaches marine park gateway,Occasional,23–31,3000,70–85,-,11.5886725,92.6152945
Long Island,Andaman,18.1,2100,North & Middle Andaman,Long Island Village,,Low,Beaches forests,Occasional,22–30,3200,70–85,-,12.3968182,92.9342976
Interview Island,Andaman,133.0,0,North & Middle Andaman,,Wildlife Sanctuary,Limited,Wildlife forests,Rare,22–30,3200,70–85,-,12.8876662,92.693772
Red Skin Island,Andaman,0.5,0,South Andaman,,Mahatma Gandhi Marine NP,Major (day trips),Coral reefs snorkeling,Rare,23–31,3000,70–85,Permits required,11.5554276,92.5924034
Cinque Island,Andaman,9.51,0,South Andaman,,Mahatma Gandhi Marine NP,Limited (by boat),Coral reefs diving,Rare,23–31,3000,70–85,Permits required,11.2659499,92.7004763
Rutland Island,Andaman,109.3,0,South Andaman,,,Limited,Beaches forests,Rare,23–31,3000,70–85,-,11.4315606,92.651792
Jolly Buoy,Andaman,0.5,0,South Andaman,,Mahatma Gandhi Marine NP,Major (day trips),Coral reefs snorkeling,Rare,23–31,3000,70–85,Permits required,11.5076258,92.6119212
Viper Island,Andaman,0.4,0,South Andaman,,Protected (heritage),Major (day trips),Cellular Jail ruins history,Rare,23–31,3000,70–85,-,11.6618855,92.6970711
Tarmugli Island,Andaman,1.26,0,South Andaman,,,Limited,Beaches forests,Rare,23–31,3000,70–85,-,11.5800863,92.5484255
Great Nicobar,Nicobar,1045.0,8500,Nicobar,Campbell Bay,Great Nicobar Biosphere Reserve,Low/Moderate,Indira Point rainforests,Occasional,22–30,3500,75–90,Southernmost point of India,7.0000167,93.8110528
Car Nicobar,Nicobar,126.9,29000,Nicobar,Car Nicobar,,Low,Beaches coconut groves,Occasional,22–30,3500,75–90,Most populous Nicobar,9.187057,92.7730136
Little Nicobar,Nicobar,159.1,430,Nicobar,Afra Bay,Great Nicobar Biosphere Reserve,Limited,Forests wildlife,Occasional,22–30,3500,75–90,-,7.3440188,93.6868311
Katchal,Nicobar,174.4,3400,Nicobar,Katchal,,Low,Beaches forests,Occasional,22–30,3500,75–90,-,7.9483741,93.4047135
Nancowry,Nicobar,66.9,1200,Nicobar,Nancowry,,Low,Beaches forests,Occasional,22–30,3500,75–90,-,7.9483741,93.4047135
Chowra,Nicobar,8.2,1500,Nicobar,Chowra,,Low,Beaches traditional culture,Occasional,22–30,3500,75–90,-,8.4546529,93.0460177
Teressa,Nicobar,101.4,2100,Nicobar,Teressa,,Low,Beaches forests,Occasional,22–30,3500,75–90,-,8.2741272,93.1064455
Bompoka,Nicobar,13.3,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-,8.2432766,93.23418
Pulomilo,Nicobar,1.3,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-,7.4034989,93.6868739
Meroe,Nicobar,0.52,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-,7.0000,93.5000
Tilangchong,Nicobar,16.84,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-,8.0000,93.6000
Thinnakara,Lakshadweep,1.4,0,Lakshadweep,,,Major,Resort island beaches,Occasional,25–32,1600,70–80,Uninhabited resort,10.9966,72.2833
Kumarakom Islands,Kerala,15.0,8000,Kottayam,Kumarakom,,Major,Backwaters resorts,Occasional,23–35,3000,70–85,Backwater tourism hub,9.6170,76.4297
Ponnani Thuruthu,Kerala,1.5,500,Malappuram,Ponnani,,Moderate,Estuary birdwatching,Occasional,23–35,3000,70–85,Ponnani Islands,10.7833,75.9000
Rameswaram Island,Tamil Nadu,61.8,44856,Ramanathapuram,Rameswaram,,Major,Temple beaches bridge,Occasional,23–35,1200,60–75,Sacred Hindu site,9.2882,79.3174
Srirangam Island,Tamil Nadu,13.0,81000,Tiruchirappalli,Srirangam,,Major,Temple complex heritage,Occasional,23–35,1200,60–75,Sacred island temple,10.8576,78.6871
Kurusadai Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs research station,Rare,23–35,1200,60–75,Gulf of Mannar,9.2500,79.1500
Quibble Island,Tamil Nadu,2.1,0,Chennai,,,Limited,Cemetery heritage,Occasional,23–35,1200,60–75,Colonial cemetery,13.020155,80.2702324
Gulf of Mannar Islands,Tamil Nadu,10.8,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs biodiversity,Rare,23–35,1200,60–75,21 islands group,9.2500,79.1500
Pulicat Island,Tamil Nadu,15.0,5000,Tiruvallur,Pulicat,,Moderate,Lake lagoon fishing,Occasional,23–35,1200,60–75,Second largest lagoon,13.4167,80.3167
Pamban Island,Tamil Nadu,67.0,50000,Ramanathapuram,Pamban,,Major,Beaches fishing,Occasional,23–35,1200,60–75,Connected to mainland,9.2388621,79.332608
Divar Island,Goa,5.0,1200,North Goa,Divar,,Moderate,Portuguese heritage churches,Occasional,23–35,3000,70–85,Portuguese colonial heritage,15.5250877,73.9078163
Chorao Island,Goa,3.8,5000,North Goa,Chorao,,Moderate,Mangroves bird sanctuary,Occasional,23–35,3000,70–85,Salim Ali Bird Sanctuary,15.5393882,73.8846678
St. Mary's Island,Karnataka,0.5,0,Udupi,,,Major,Beaches geology,Occasional,20–35,3000,70–85,Columnar basalt,13.3792064,74.6733444
Netrani Island,Karnataka,0.5,0,Uttara Kannada,,,Major,Diving destination,Rare,20–35,3000,70–85,Popular diving site,14.0072,74.3222
Kurumgad Island,Karnataka,0.3,0,Uttara Kannada,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-,14.7833,74.1167
Mangalore Port Island,Karnataka,2.0,0,Dakshina Kannada,,,Major,Port facilities,Occasional,20–35,3000,70–85,Port island,12.9000,74.8000
Panambur Island,Karnataka,1.0,0,Dakshina Kannada,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-,12.9500,74.8000
Tannirbavi Island,Karnataka,0.5,0,Dakshina Kannada,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-,12.9000,74.7667
Devgad Island,Maharashtra,0.5,0,Sindhudurg,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-,16.4000,73.4000
Vengurla Rocks,Maharashtra,0.2,0,Sindhudurg,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-,15.8667,73.6333
Malvan Island,Maharashtra,0.3,0,Sindhudurg,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-,16.0667,73.4667
Sindhudurg Fort Island,Maharashtra,0.5,0,Sindhudurg,,,Major,Historic fort,Occasional,20–35,3000,70–85,Historic island fort,16.0526,73.4622
Elephanta Island,Mumbai,16.0,1200,Mumbai Suburban,,UNESCO World Heritage,Major,Cave temples history,Occasional,23–35,2500,60–80,Ancient cave temples,18.9217835,72.8347226
Butcher Island,Mumbai,0.5,0,Mumbai Suburban,,,Limited,Oil storage facility,Rare,23–35,2500,60–80,Industrial use,18.9593008,72.9023022
Cross Island,Mumbai,0.3,0,Mumbai Suburban,,,Limited,Small uninhabited,Rare,23–35,2500,60–80,-,18.9631,72.8422
Oyster Rock,Mumbai,0.1,0,Mumbai Suburban,,,Limited,Small uninhabited,Rare,23–35,2500,60–80,-,18.9639,72.8406
Middle Ground,Mumbai,0.2,0,Mumbai Suburban,,,Limited,Small uninhabited,Rare,23–35,2500,60–80,-,18.9636,72.8417
Salsette Island,Mumbai,619.0,15000000,Mumbai Suburban,Mumbai,,Major,Metropolitan area,Occasional,23–35,2500,60–80,Most populous island,19.1550,72.8956
Sagar Island,West Bengal,300.0,212000,South 24 Parganas,Sagar,,Major,Pilgrimage beaches,Occasional,20–35,1800,70–85,Ganga Sagar pilgrimage,21.7561703,88.1217396
Ghoramara Island,West Bengal,4.43,5000,South 24 Parganas,Ghoramara,,Low,Disappearing island,Occasional,20–35,1800,70–85,Climate change impact,21.913254,88.1298169
Lohachara Island,West Bengal,0.5,0,South 24 Parganas,,,,Submerged island,Rare,20–35,1800,70–85,Completely submerged,21.9000,88.1000
New Moore Island,West Bengal,0.5,0,South 24 Parganas,,,,Disputed territory,Rare,20–35,1800,70–85,India-Bangladesh dispute,21.9300,89.1300
Wheeler Island,Odisha,2.0,0,Bhadrak,,,Limited,Missile testing facility,Rare,20–35,1500,60–75,DRDO facility,20.7558655,87.0831934
Paradip Island,Odisha,15.0,50000,Jagatsinghpur,Paradip,,Major,Port facilities,Occasional,20–35,1500,60–75,Major port,20.3167,86.6167
Hukitola Island,Odisha,8.0,0,Kendrapara,,,Limited,Wildlife sanctuary,Rare,20–35,1500,60–75,-,20.4063752,86.7908474
Bhitarkanika Island,Odisha,145.0,0,Kendrapara,,Wildlife Sanctuary,Major,Mangroves crocodiles,Occasional,20–35,1500,60–75,Mangrove ecosystem,20.7300,86.8500
Bet Dwarka,Gujarat,8.0,5000,Devbhoomi Dwarka,Bet Dwarka,,Major,Temple heritage,Occasional,20–35,600,50–70,Sacred Hindu site,22.4492802,69.1010493
Pirotan Island,Gujarat,3.0,0,Jamnagar,,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area,22.6001409,69.9556801
Narara Island,Gujarat,2.0,0,Jamnagar,,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area,22.4700,69.0700
Kadmat Island,Gujarat,1.5,0,Jamnagar,,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area,22.4700,69.0700
Beyt Dwarka,Gujarat,0.5,0,Devbhoomi Dwarka,,,Limited,Small uninhabited,Rare,20–35,600,50–70,-,22.4492802,69.1010493
Shiyal Bet,Gujarat,0.3,0,Amreli,,,Limited,Small uninhabited,Rare,20–35,600,50–70,-,21.5333,72.0667
Piram Island,Gujarat,0.2,0,Bhavnagar,,,Limited,Small uninhabited,Rare,20–35,600,50–70,-,21.6000,72.4000
Krishnapatnam Island,Andhra Pradesh,5.0,2000,Nellore,Krishnapatnam,,Major,Port facilities,Occasional,23–35,1000,60–75,Major port,16.7833,80.8667
Bhavani Island,Andhra Pradesh,133.0,5000,Vijayawada,Bhavani Island,,Major,Resort island,Occasional,23–35,1000,60–75,River island resort,16.5230101,80.5699106
Konaseema Islands,Andhra Pradesh,200.0,500000,East Godavari,Amalapuram,,Major,River delta islands,Occasional,23–35,1000,60–75,River delta region,16.6333,82.0167
Vijaya Durga Island,Andhra Pradesh,2.0,0,Visakhapatnam,,,Limited,Small uninhabited,Rare,23–35,1000,60–75,-,17.6833,83.2167
Diu Island,Diu,40.0,52000,Diu,Diu,,Major,Portuguese heritage beaches,Occasional,20–35,800,60–75,Portuguese colonial history,20.7181749,70.9323834
Majuli Island,Assam,880.0,167000,Jorhat,Majuli,,Major,River island satras,Occasional,15–35,2500,70–85,World's largest river island,27.0129015,94.2746854
Umananda Island,Assam,0.02,0,Kamrup Metro,,,Major,Temple island,Occasional,15–35,2500,70–85,Peacock Island,26.1964855,91.7449949
Bhelaguri Island,Assam,2.5,800,Morigaon,Bhelaguri,,Moderate,Sandbar agriculture,Occasional,15–35,2500,70–85,Char island,26.2000,92.3500
Ahotguri Island,Assam,1.8,500,Nagaon,Ahotguri,,Moderate,Sandbar agriculture,Occasional,15–35,2500,70–85,Char island,26.3000,92.6000
Kamalabari Island,Assam,3.2,1200,Jorhat,Kamalabari,,Moderate,Satra culture,Occasional,15–35,2500,70–85,Part of Majuli,26.9500,94.1500
Salmora Island,Assam,1.5,600,Jorhat,Salmora,,Moderate,Pottery crafts,Occasional,15–35,2500,70–85,Part of Majuli,26.9500,94.1500
Raghopur Island,Bihar,15.0,8000,Vaishali,Raghopur,,Moderate,River island agriculture,Occasional,15–35,1200,60–75,Harappan remains,25.5616766,85.3680703
Kahalgaon River Islands,Bihar,8.0,3000,Bhagalpur,Kahalgaon,,Moderate,River islands mythology,Occasional,15–35,1200,60–75,Ganga mythology,25.2600,87.2300
Sultanganj & Ajgaivinath Island,Bihar,2.0,1500,Bhagalpur,Sultanganj,,Major,Temple pilgrimage,Occasional,15–35,1200,60–75,Ajgaivinath Temple,25.2400,86.7300
Diara Islands,Bihar,50.0,25000,Multiple,Multiple,,Moderate,Ganga floodplains,Occasional,15–35,1200,60–75,Shifting sandbars,25.6000,85.1000
Brahmaputra River Islands,Arunachal Pradesh,25.0,1500,East Siang,Pasighat,,Moderate,River islands tribal culture,Occasional,15–30,2500,70–85,Brahmaputra river islands,27.9000,95.3000
Siang River Islands,Arunachal Pradesh,15.0,800,East Siang,Pasighat,,Low,River islands agriculture,Occasional,15–30,2500,70–85,Siang river tributaries,28.1000,95.3000
Dibang River Islands,Arunachal Pradesh,8.0,400,Lower Dibang Valley,Roing,,Low,River islands wildlife,Occasional,15–30,2500,70–85,Dibang river system,28.1000,95.9000
Lohit River Islands,Arunachal Pradesh,12.0,600,Lohit,Tezu,,Low,River islands tribal villages,Occasional,15–30,2500,70–85,Lohit river tributaries,27.9000,96.2000
Miao Island,Arunachal Pradesh,2.0,200,Changlang,Miao,,Moderate,River island wildlife sanctuary,Occasional,15–30,2500,70–85,Near Namdapha NP,27.5000,96.0000
Mahanadi River Islands,Chhattisgarh,45.0,8000,Raipur,Raipur,,Moderate,River islands agriculture,Occasional,20–35,1200,60–75,Mahanadi river system,21.2500,81.6300
Hasdev River Islands,Chhattisgarh,20.0,3000,Korba,Korba,,Low,River islands coal mining,Occasional,20–35,1200,60–75,Hasdev river tributaries,22.3500,82.7000
Indravati River Islands,Chhattisgarh,15.0,2000,Bijapur,Bijapur,,Low,River islands tribal culture,Occasional,20–35,1200,60–75,Indravati river system,19.0000,81.5000
Sheonath River Islands,Chhattisgarh,8.0,1500,Raipur,Raipur,,Low,River islands agriculture,Occasional,20–35,1200,60–75,Sheonath river,21.5000,81.5000
Kelo River Islands,Chhattisgarh,5.0,800,Raigarh,Raigarh,,Low,River islands small settlements,Occasional,20–35,1200,60–75,Kelo river tributaries,21.9000,83.4000
Yamuna River Islands,Haryana,30.0,12000,Yamunanagar,Yamunanagar,,Moderate,River islands agriculture,Occasional,15–35,800,50–70,Yamuna river system,30.1300,77.2800
Ghaggar River Islands,Haryana,15.0,5000,Sirsa,Sirsa,,Low,River islands seasonal,Occasional,15–35,800,50–70,Ghaggar river system,29.5333,75.0167
Markanda River Islands,Haryana,8.0,2000,Ambala,Ambala,,Low,River islands agriculture,Occasional,15–35,800,50–70,Markanda river,30.3500,77.1000
Tangri River Islands,Haryana,5.0,1500,Karnal,Karnal,,Low,River islands small settlements,Occasional,15–35,800,50–70,Tangri river,30.7000,76.9000
Dohan River Islands,Haryana,3.0,800,Gurugram,Gurugram,,Low,River islands urban fringe,Occasional,15–35,800,50–70,Dohan river,28.3500,76.8167
Beas River Islands,Himachal Pradesh,25.0,8000,Kangra,Kangra,,Moderate,River islands agriculture,Occasional,10–30,1500,60–80,Beas river system,32.0000,76.0000
Sutlej River Islands,Himachal Pradesh,20.0,6000,Bilaspur,Bilaspur,,Moderate,River islands hydro projects,Occasional,10–30,1500,60–80,Sutlej river system,31.4167,76.7500
Ravi River Islands,Himachal Pradesh,15.0,4000,Chamba,Chamba,,Moderate,River islands temples,Occasional,10–30,1500,60–80,Ravi river system,32.5000,75.9667
Chenab River Islands,Himachal Pradesh,12.0,3000,Lahaul and Spiti,Keylong,,Low,River islands high altitude,Occasional,10–30,1500,60–80,Chenab river,32.5833,76.1333
Parvati River Islands,Himachal Pradesh,8.0,2000,Kullu,Kullu,,Moderate,River islands adventure tourism,Occasional,10–30,1500,60–80,Parvati river,31.9833,77.3167
Damodar River Islands,Jharkhand,40.0,15000,Dhanbad,Dhanbad,,Moderate,River islands coal mining,Occasional,20–35,1200,60–75,Damodar river system,23.8000,86.4500
Subarnarekha River Islands,Jharkhand,25.0,8000,Ranchi,Ranchi,,Moderate,River islands tribal culture,Occasional,20–35,1200,60–75,Subarnarekha river,22.8000,86.2000
Koel River Islands,Jharkhand,18.0,6000,Lohardaga,Lohardaga,,Low,River islands agriculture,Occasional,20–35,1200,60–75,Koel river system,23.5000,84.5000
North Koel River Islands,Jharkhand,12.0,4000,Palamu,Palamu,,Low,River islands forests,Occasional,20–35,1200,60–75,North Koel river,24.0000,83.9000
South Koel River Islands,Jharkhand,10.0,3000,Ranchi,Ranchi,,Low,River islands tribal villages,Occasional,20–35,1200,60–75,South Koel river,23.0000,84.0000
Auranga River Islands,Jharkhand,8.0,2000,Palamu,Palamu,,Low,River islands small settlements,Occasional,20–35,1200,60–75,Auranga river,23.9000,84.1000
Narmada River Islands,Madhya Pradesh,60.0,20000,Jabalpur,Jabalpur,,Major,River islands temples,Occasional,20–35,1200,60–75,Narmada river system,23.1667,79.9333
Tawa River Islands,Madhya Pradesh,25.0,8000,Hoshangabad,Hoshangabad,,Moderate,River islands agriculture,Occasional,20–35,1200,60–75,Tawa river system,22.7500,77.9000
Chambal River Islands,Madhya Pradesh,35.0,12000,Morena,Morena,,Moderate,River islands wildlife,Occasional,20–35,1200,60–75,Chambal river system,26.5000,77.9000
Betwa River Islands,Madhya Pradesh,20.0,6000,Vidisha,Vidisha,,Moderate,River islands heritage,Occasional,20–35,1200,60–75,Betwa river system,23.8500,78.9000
Ken River Islands,Madhya Pradesh,15.0,4000,Panna,Panna,,Moderate,River islands forests,Occasional,20–35,1200,60–75,Ken river system,24.6000,80.2000
Sone River Islands,Madhya Pradesh,18.0,5000,Sidhi,Sidhi,,Low,River islands agriculture,Occasional,20–35,1200,60–75,Sone river system,24.2000,82.2000
Wainganga River Islands,Madhya Pradesh,12.0,3000,Balaghat,Balaghat,,Low,River islands tribal culture,Occasional,20–35,1200,60–75,Wainganga river,21.8000,80.2000
Loktak Lake Islands,Manipur,286.0,100000,Bishnupur,Thanga,,Major,Lake islands floating villages,Occasional,15–30,2000,70–85,World's only floating NP,24.5000,93.8333
Loktak Floating Islands,Manipur,50.0,15000,Bishnupur,,,Major,Phumdis floating biomass,Occasional,15–30,2000,70–85,Unique floating islands,24.5000,93.8333
Imphal River Islands,Manipur,15.0,8000,Imphal East,Imphal,,Moderate,River islands urban,Occasional,15–30,2000,70–85,Imphal river system,24.8000,93.9500
Iril River Islands,Manipur,12.0,5000,Imphal East,Imphal,,Moderate,River islands agriculture,Occasional,15–30,2000,70–85,Iril river system,24.9000,94.0000
Thoubal River Islands,Manipur,10.0,4000,Thoubal,Thoubal,,Moderate,River islands fishing,Occasional,15–30,2000,70–85,Thoubal river system,24.6000,94.0000
Manipur River Islands,Manipur,8.0,3000,Imphal West,Imphal,,Low,River islands small settlements,Occasional,15–30,2000,70–85,Manipur river,24.8000,93.9000
